品类1,品类2,关联度
category87,category194,221
category87,category88,95
category87,category281,85
category87,category110,12
category87,category275,35
category87,category184,121
category87,category190,111
category87,category200,292
category87,category30,83
category87,category228,21
category87,category325,177
category87,category160,38
category87,category227,50
category87,category236,39
category87,category273,108
category87,category56,14
category87,category252,85
category87,category169,23
category87,category196,40
category87,category253,65
category87,category165,16
category87,category58,44
category87,category285,27
category87,category151,15
category87,category108,24
category87,category303,75
category87,category153,164
category87,category156,21
category87,category78,11
category87,category100,15
category87,category271,13
category87,category289,22
category87,category188,242
category87,category63,22
category87,category24,36
category87,category331,16
category87,category279,492
category87,category2,356
category87,category97,185
category87,category20,749
category87,category40,256
category87,category65,439
category87,category239,30
category87,category257,11
category87,category176,19
category87,category89,389
category87,category215,15
category87,category123,53
category87,category270,85
category161,category192,33
category161,category141,50
category161,category273,134
category74,category253,95
category141,category248,193
category141,category280,214
category141,category111,35
category141,category263,319
category141,category88,120
category141,category273,291
category141,category49,14
category141,category44,216
category141,category65,28
category141,category257,42
category141,category176,385
category141,category89,179
category297,category263,17
category311,category263,11
category311,category88,98
category311,category28,48
category311,category227,48
category311,category236,11
category311,category273,32
category311,category2,11
category311,category40,14
category5,category70,24
category5,category191,361
category5,category173,18
category5,category266,19
category5,category280,43
category5,category263,36
category5,category56,19
category5,category58,23
category88,category195,350
category88,category226,14
category88,category248,13
category88,category263,363
category88,category28,26
category88,category200,14
category88,category273,28
category88,category153,11
category52,category226,29
category217,category88,1236
category281,category195,46
category281,category226,75
category281,category86,19
category281,category60,35
category281,category88,109
category281,category273,12
category281,category252,21
category281,category253,39
category281,category153,45
category281,category279,145
category256,category69,13
category256,category28,865
category305,category69,12
category75,category28,255
category69,category28,45
category117,category28,104
category28,category263,76
category28,category227,30
category126,category305,33
category126,category117,163
category126,category28,491
category302,category256,46
category302,category28,34
category230,category256,243
category230,category28,17
category230,category113,17
category110,category28,78
category113,category142,11
category113,category117,55
category113,category28,61
category113,category193,67
category193,category142,15
category275,category226,56
category275,category60,62
category275,category266,71
category275,category280,756
category275,category111,1335
category275,category263,12
category275,category184,773
category275,category190,1270
category275,category200,1344
category275,category30,376
category275,category165,11
category275,category58,12
category275,category285,12
category275,category153,12
category275,category188,21
category184,category226,79
category184,category60,60
category184,category266,28
category184,category280,244
category184,category190,232
category184,category200,135
category184,category30,546
category184,category153,29
category184,category188,18
category190,category226,125
category190,category248,46
category190,category60,65
category190,category266,40
category190,category280,146
category190,category263,45
category190,category200,337
category190,category30,943
category190,category273,17
category190,category165,55
category190,category58,12
category190,category285,13
category190,category153,73
category190,category188,14
category200,category195,120
category200,category226,162
category200,category248,12
category200,category86,14
category200,category60,180
category200,category266,121
category200,category280,453
category200,category263,184
category200,category30,344
category200,category227,28
category200,category273,83
category200,category56,32
category200,category58,11
category200,category285,28
category200,category153,130
category200,category279,330
category30,category226,148
category30,category60,32
category30,category266,13
category30,category280,109
category30,category273,13
category30,category285,11
category30,category153,34
category118,category226,41
category118,category60,29
category118,category280,153
category118,category190,35
category118,category200,493
category118,category30,26
category118,category325,34
category34,category280,35
category34,category190,11
category34,category200,323
category34,category30,71
category228,category60,22
category228,category275,12
category228,category184,147
category228,category190,171
category228,category200,350
category228,category30,89
category228,category325,107
category228,category156,44
category228,category188,26
category325,category195,13
category325,category226,165
category325,category86,11
category325,category60,149
category325,category173,14
category325,category266,62
category325,category280,713
category325,category194,11
category325,category275,2989
category325,category184,859
category325,category190,1189
category325,category200,497
category325,category30,824
category325,category160,513
category325,category273,48
category325,category165,43
category325,category285,15
category325,category153,67
category325,category188,175
category325,category24,27
category325,category279,67
category160,category226,49
category160,category60,26
category160,category280,380
category160,category275,31
category160,category184,101
category160,category190,341
category160,category200,18
category160,category30,99
category160,category58,12
category160,category153,18
category201,category226,45
category201,category227,31
category201,category301,30
category201,category155,124
category201,category236,91
category201,category273,894
category201,category56,185
category201,category233,58
category201,category14,29
category227,category195,11
category227,category137,15
category227,category263,13
category227,category301,12
category227,category155,13
category227,category236,237
category227,category273,345
category227,category56,178
category227,category233,94
category227,category14,84
category227,category285,13
category301,category236,55
category301,category273,117
category301,category56,56
category301,category233,48
category155,category236,58
category155,category273,344
category155,category56,64
category155,category233,42
category155,category14,12
category236,category226,26
category236,category60,13
category236,category137,18
category236,category273,761
category236,category56,729
category236,category233,269
category236,category14,176
category236,category285,13
category236,category153,30
category273,category195,137
category273,category226,176
category273,category70,66
category273,category60,59
category273,category173,21
category273,category137,36
category273,category266,24
category273,category263,37
category273,category56,1871
category273,category233,1838
category273,category14,873
category273,category8,16
category273,category196,16
category273,category253,26
category273,category58,28
category273,category285,29
category273,category153,58
category273,category186,76
category273,category188,11
category273,category279,85
category56,category195,34
category56,category226,38
category56,category70,13
category56,category60,13
category56,category263,13
category56,category233,480
category56,category14,115
category56,category58,20
category56,category285,22
category56,category153,18
category56,category279,29
category233,category226,21
category233,category173,15
category233,category14,202
category233,category153,29
category76,category60,14
category76,category216,42
category76,category220,43
category76,category92,508
category99,category273,26
category92,category273,11
category218,category201,34
category218,category301,11
category218,category236,32
category218,category273,921
category218,category56,320
category218,category233,119
category218,category14,45
category218,category278,11
category218,category158,83
category218,category290,20
category218,category49,44
category218,category252,24
category218,category284,46
category246,category227,11
category246,category273,812
category246,category56,16
category246,category158,14
category246,category49,11
category246,category222,814
category246,category252,122
category36,category273,81
category278,category236,27
category278,category273,170
category278,category56,37
category278,category233,63
category278,category158,76
category278,category49,13
category314,category201,15
category314,category227,15
category314,category236,20
category314,category273,772
category314,category56,28
category314,category14,13
category314,category158,63
category314,category147,252
category177,category201,42
category177,category227,26
category177,category155,114
category177,category236,50
category177,category273,330
category177,category56,79
category177,category233,38
category177,category14,28
category177,category158,58
category177,category290,11
category177,category49,63
category177,category252,37
category158,category201,147
category158,category227,57
category158,category301,73
category158,category155,161
category158,category236,200
category158,category273,2493
category158,category56,331
category158,category233,440
category158,category14,79
category158,category290,36
category158,category49,231
category158,category222,12
category158,category252,129
category158,category284,71
category158,category147,794
category181,category273,11
category290,category226,16
category290,category201,29
category290,category227,16
category290,category155,13
category290,category236,105
category290,category273,312
category290,category56,52
category290,category233,30
category290,category14,50
category290,category49,60
category290,category252,43
category290,category284,17
category49,category226,113
category49,category201,117
category49,category227,95
category49,category155,53
category49,category236,146
category49,category273,1426
category49,category56,240
category49,category233,413
category49,category14,274
category49,category222,553
category49,category252,853
category49,category284,88
category222,category227,193
category222,category273,458
category252,category226,27
category252,category201,36
category252,category227,14
category252,category301,15
category252,category155,41
category252,category236,97
category252,category273,708
category252,category56,132
category252,category233,129
category252,category14,55
category252,category284,59
category252,category258,11
category252,category153,12
category252,category279,39
category284,category226,14
category284,category201,19
category284,category301,17
category284,category155,11
category284,category236,43
category284,category273,516
category284,category56,81
category284,category233,77
category284,category14,74
category147,category227,195
category147,category236,11
category147,category273,128
category147,category56,31
category8,category196,226
category8,category253,569
category8,category165,94
category8,category279,845
category169,category196,1053
category169,category253,67
category169,category165,24
category169,category188,33
category169,category63,14
category169,category24,37
category169,category279,24
category196,category266,29
category196,category263,11
category196,category253,495
category196,category165,165
category196,category58,17
category196,category285,18
category196,category151,13
category196,category153,48
category196,category188,45
category196,category63,16
category196,category24,114
category196,category279,319
category253,category165,361
category253,category279,817
category165,category263,31
category165,category78,66
category165,category188,16
category165,category63,18
category165,category24,21
category165,category279,241
category58,category266,54
category58,category285,34566
category58,category151,4503
category58,category268,395
category58,category261,217
category58,category108,282
category58,category153,57
category58,category188,16
category58,category44,12
category58,category279,127
category285,category266,24
category285,category263,11
category285,category194,11
category285,category151,2997
category285,category268,1103
category285,category261,328
category285,category108,399
category285,category153,65
category285,category188,17
category285,category279,87
category151,category266,13
category151,category268,1057
category151,category261,558
category151,category108,972
category151,category153,21
category151,category279,40
category268,category261,189
category268,category108,444
category261,category108,139
category108,category263,23
category94,category58,99
category94,category285,68
category94,category151,177
category94,category258,255
category258,category58,36
category258,category285,33
category258,category153,11
category153,category303,22
category153,category188,39
category153,category24,17
category153,category44,43
category153,category279,222
category178,category127,167
category178,category78,40
category156,category188,20
category100,category127,36
category100,category78,49
category18,category81,52
category271,category156,42
category271,category188,19
category271,category331,43
category186,category63,16
category188,category63,803
category188,category279,126
category63,category279,57
category24,category188,926
category24,category63,266
category24,category279,34
category331,category188,38
category331,category129,330
category331,category63,14
category44,category279,32393
category44,category109,20963
category293,category44,25411
category293,category279,167
category61,category195,62
category61,category226,96
category61,category86,16
category61,category60,77
category61,category266,35
category61,category280,20
category61,category263,26
category61,category104,1392
category61,category152,22
category61,category276,1883
category61,category62,52
category61,category225,274
category61,category223,48
category61,category72,51
category61,category283,306
category61,category26,87
category61,category15,1062
category61,category17,376
category61,category241,48
category61,category287,63
category61,category122,12
category61,category245,34
category61,category203,12
category61,category164,181
category61,category154,20
category61,category48,65
category61,category35,399
category61,category21,407
category61,category84,660
category61,category254,499
category61,category242,37
category61,category87,239
category61,category141,13
category61,category281,16
category61,category275,11
category61,category184,15
category61,category190,11
category61,category200,87
category61,category30,14
category61,category325,33
category61,category273,18
category61,category252,13
category61,category196,16
category61,category58,16
category61,category285,21
category61,category153,61
category61,category100,14
category61,category188,41
category61,category24,11
category61,category279,182
category61,category103,1865
category61,category132,47
category61,category146,16
category61,category51,13
category61,category308,468
category61,category102,335
category61,category243,110
category61,category130,175
category61,category183,161
category61,category300,14
category61,category2,201
category61,category97,44
category61,category20,224
category61,category40,105
category61,category65,337
category61,category89,143
category61,category215,97
category103,category226,12
category103,category104,28
category103,category152,248
category103,category276,626
category103,category62,134
category103,category225,103
category103,category283,46
category103,category26,18
category103,category15,375
category103,category17,13
category103,category164,39
category103,category48,11
category103,category35,224
category103,category21,32
category103,category84,99
category103,category254,46
category103,category87,42
category103,category153,11
category103,category308,74
category103,category183,32
category103,category2,32
category103,category40,36
category103,category65,39
category103,category89,28
category66,category195,19
category66,category226,61
category66,category60,46
category66,category266,13
category66,category276,57
category66,category225,82
category66,category223,15
category66,category283,13
category66,category250,11
category66,category166,150
category66,category245,57
category66,category164,96
category66,category21,947
category66,category84,1420
category66,category254,1069
category66,category79,598
category66,category242,899
category66,category87,12
category66,category5,261
category66,category190,126
category66,category325,16
category66,category273,19
category66,category196,16
category66,category58,90
category66,category285,29
category66,category151,13
category66,category153,14
category66,category188,16
category66,category44,11
category66,category279,54
category66,category12,551
category66,category198,90
category66,category132,1029
category66,category54,127
category66,category312,33708
category66,category308,384
category66,category102,28
category66,category243,444
category66,category130,283
category66,category183,91
category66,category2,124
category66,category97,12
category66,category20,150
category66,category40,55
category66,category65,202
category66,category71,100
category12,category226,33
category12,category333,1784
category12,category60,13
category12,category276,27
category12,category225,37
category12,category21,284
category12,category84,424
category12,category254,405
category12,category79,129
category12,category242,72
category12,category5,109
category12,category200,14
category12,category325,24
category12,category58,15
category12,category285,26
category12,category198,208
category12,category132,308
category12,category54,40
category12,category312,61
category12,category308,204
category12,category243,76
category12,category130,22
category12,category183,22
category12,category2,39
category12,category20,46
category12,category40,17
category12,category65,63
category198,category21,105
category198,category84,326
category198,category254,527
category198,category79,39
category198,category5,54
category198,category325,62
category198,category132,580
category198,category54,100
category198,category312,189
category198,category308,15
category198,category183,12
category198,category2,13
category132,category195,39
category132,category226,185
category132,category60,117
category132,category191,15
category132,category266,49
category132,category280,14
category132,category263,17
category132,category194,12
category132,category104,22
category132,category276,178
category132,category225,205
category132,category223,36
category132,category283,62
category132,category15,14
category132,category241,21
category132,category250,74
category132,category166,71
category132,category245,85
category132,category203,11
category132,category164,282
category132,category21,7045
category132,category84,3571
category132,category254,4963
category132,category79,418
category132,category242,184
category132,category87,46
category132,category5,19
category132,category275,11
category132,category190,24
category132,category200,58
category132,category30,11
category132,category325,74
category132,category236,12
category132,category273,38
category132,category56,11
category132,category252,22
category132,category169,12
category132,category196,55
category132,category253,11
category132,category58,116
category132,category285,111
category132,category151,22
category132,category258,13
category132,category59,15
category132,category153,50
category132,category188,54
category132,category63,18
category132,category24,12
category132,category279,146
category132,category54,132
category132,category146,13
category132,category308,872
category132,category102,209
category132,category243,626
category132,category130,392
category132,category183,289
category132,category2,253
category132,category97,46
category132,category20,352
category132,category40,152
category132,category65,402
category132,category239,13
category132,category89,18
category132,category71,18
category132,category330,24
category54,category226,13
category54,category276,12
category54,category21,158
category54,category84,1342
category54,category254,174
category54,category79,66
category54,category285,14
category54,category312,266
category54,category308,67
category54,category243,42
category54,category183,23
category54,category2,22
category54,category20,19
category54,category65,45
category54,category330,14
category175,category146,14
category162,category21,33
category162,category84,164
category162,category38,15
category162,category146,43
category38,category84,83
category38,category254,16
category38,category146,558
category344,category328,25
category344,category146,176
category344,category183,57
category328,category146,36
category146,category226,51
category146,category60,84
category146,category194,13
category146,category276,18
category146,category72,21
category146,category283,87
category146,category321,70
category146,category164,44
category146,category48,26
category146,category35,24
category146,category21,141
category146,category84,694
category146,category254,197
category146,category79,26
category146,category87,52
category146,category311,149
category146,category184,19
category146,category325,20
category146,category252,88
category146,category196,81
category146,category58,30
category146,category285,49
category146,category258,92
category146,category153,26
category146,category78,11
category146,category188,110
category146,category24,25
category146,category51,23
category146,category308,187
category146,category102,210
category146,category243,88
category146,category130,159
category146,category183,410
category146,category2,50
category146,category20,54
category146,category40,39
category146,category65,70
category146,category89,18
category288,category293,157
category11,category226,11
category11,category60,34
category11,category169,28
category11,category24,13
category264,category196,40
category264,category188,17
category264,category63,11
category264,category24,95
category51,category226,20
category51,category281,37
category51,category165,12
category51,category153,116
category51,category308,32
category51,category102,212
category51,category183,13
category51,category2,16
category39,category226,15
category39,category169,23
category39,category196,11
category39,category308,45
category39,category102,232
category39,category130,23
category39,category183,12
category125,category60,109
category125,category191,12
category125,category63,96
category308,category195,366
category308,category226,1419
category308,category333,3485
category308,category248,114
category308,category86,187
category308,category307,11
category308,category60,1239
category308,category191,36
category308,category173,28
category308,category185,261
category308,category266,503
category308,category280,337
category308,category263,425
category308,category194,129
category308,category87,882
category308,category88,19
category308,category281,159
category308,category275,206
category308,category184,179
category308,category190,341
category308,category200,550
category308,category30,276
category308,category118,32
category308,category228,50
category308,category325,459
category308,category160,157
category308,category227,51
category308,category155,12
category308,category236,159
category308,category273,462
category308,category56,280
category308,category233,153
category308,category218,11
category308,category158,39
category308,category49,82
category308,category252,77
category308,category284,15
category308,category169,11
category308,category196,297
category308,category253,45
category308,category58,1954
category308,category285,1913
category308,category151,711
category308,category268,23
category308,category261,14
category308,category108,61
category308,category94,64
category308,category258,77
category308,category59,12
category308,category153,1661
category308,category188,330
category308,category63,57
category308,category24,97
category308,category331,15
category308,category44,12
category308,category279,1326
category308,category102,9221
category308,category243,14373
category308,category130,8691
category308,category183,4167
category308,category300,168
category308,category2,5223
category308,category97,857
category308,category20,8497
category308,category40,13224
category308,category65,7974
category308,category239,581
category308,category257,11
category308,category89,712
category308,category215,21
category308,category71,97
category308,category204,14
category102,category195,125
category102,category226,847
category102,category86,65
category102,category60,918
category102,category191,12
category102,category185,115
category102,category266,316
category102,category280,229
category102,category263,114
category102,category194,87
category102,category87,759
category102,category275,202
category102,category184,299
category102,category190,395
category102,category200,296
category102,category30,425
category102,category118,49
category102,category228,127
category102,category325,717
category102,category160,267
category102,category236,25
category102,category273,159
category102,category56,40
category102,category233,11
category102,category169,11
category102,category196,584
category102,category253,44
category102,category58,374
category102,category285,398
category102,category151,254
category102,category108,71
category102,category258,13
category102,category153,607
category102,category100,11
category102,category271,28
category102,category188,502
category102,category63,89
category102,category24,158
category102,category279,518
category102,category243,3817
category102,category130,7555
category102,category183,1778
category102,category300,360
category102,category2,1440
category102,category97,209
category102,category20,2426
category102,category40,1326
category102,category65,2156
category102,category239,41
category102,category257,11
category102,category89,337
category243,category195,106
category243,category226,420
category243,category248,26
category243,category86,15
category243,category60,269
category243,category266,152
category243,category280,73
category243,category263,102
category243,category87,329
category243,category141,199
category243,category311,40
category243,category5,358
category243,category281,28
category243,category275,25
category243,category184,22
category243,category190,48
category243,category200,146
category243,category30,26
category243,category325,44
category243,category160,24
category243,category227,20
category243,category236,64
category243,category273,304
category243,category56,120
category243,category233,32
category243,category158,28
category243,category49,15
category243,category252,53
category243,category284,11
category243,category196,85
category243,category253,65
category243,category58,758
category243,category285,503
category243,category151,231
category243,category261,24
category243,category94,53
category243,category258,24
category243,category153,405
category243,category188,66
category243,category63,18
category243,category24,28
category243,category279,387
category243,category130,15966
category243,category183,3085
category243,category300,662
category243,category2,6923
category243,category97,1155
category243,category20,11000
category243,category40,4926
category243,category65,5667
category243,category239,649
category243,category89,138
category243,category215,12
category243,category71,15
category243,category204,855
category130,category195,60
category130,category226,666
category130,category86,28
category130,category60,469
category130,category185,36
category130,category266,237
category130,category280,102
category130,category263,30
category130,category172,22
category130,category194,150
category130,category87,420
category130,category311,17
category130,category275,43
category130,category184,78
category130,category190,90
category130,category200,106
category130,category30,112
category130,category325,238
category130,category160,141
category130,category236,13
category130,category273,178
category130,category56,45
category130,category233,11
category130,category49,11
category130,category252,18
category130,category169,41
category130,category196,468
category130,category253,69
category130,category58,495
category130,category285,428
category130,category151,203
category130,category261,12
category130,category153,354
category130,category188,489
category130,category63,40
category130,category24,203
category130,category279,381
category130,category183,4091
category130,category300,534
category130,category2,2573
category130,category97,279
category130,category20,4803
category130,category40,1641
category130,category65,2731
category130,category239,126
category130,category89,180
category183,category195,157
category183,category226,639
category183,category248,85
category183,category86,72
category183,category60,799
category183,category191,28
category183,category185,72
category183,category266,311
category183,category280,96
category183,category263,208
category183,category194,54
category183,category87,460
category183,category281,46
category183,category275,45
category183,category184,75
category183,category190,84
category183,category200,224
category183,category30,73
category183,category118,12
category183,category325,199
category183,category160,31
category183,category227,17
category183,category236,25
category183,category273,109
category183,category56,41
category183,category233,58
category183,category14,20
category183,category158,14
category183,category49,51
category183,category252,44
category183,category169,26
category183,category196,197
category183,category253,86
category183,category165,51
category183,category58,274
category183,category285,231
category183,category151,170
category183,category268,14
category183,category258,13
category183,category153,295
category183,category271,12
category183,category188,194
category183,category63,40
category183,category24,125
category183,category331,18
category183,category279,590
category183,category300,54
category183,category2,1534
category183,category97,190
category183,category20,3584
category183,category40,1071
category183,category65,1993
category183,category239,65
category183,category89,195
category183,category215,17
category183,category71,26
category300,category226,24
category300,category196,38
category300,category151,13
category300,category153,12
category300,category2,28
category300,category20,30
category300,category40,15
category300,category65,75
category2,category195,175
category2,category226,394
category2,category248,43
category2,category86,83
category2,category60,390
category2,category191,18
category2,category173,14
category2,category185,41
category2,category266,148
category2,category280,192
category2,category263,1183
category2,category194,13
category2,category5,28
category2,category88,20
category2,category281,58
category2,category275,99
category2,category184,48
category2,category190,106
category2,category200,275
category2,category30,85
category2,category325,110
category2,category160,40
category2,category227,19
category2,category236,25
category2,category273,127
category2,category56,51
category2,category233,43
category2,category158,18
category2,category49,45
category2,category252,30
category2,category284,17
category2,category169,42
category2,category196,103
category2,category253,40
category2,category58,1738
category2,category285,353
category2,category151,180
category2,category268,16
category2,category108,25
category2,category258,20
category2,category153,326
category2,category188,118
category2,category63,28
category2,category24,31
category2,category44,12
category2,category279,597
category2,category97,3311
category2,category20,21892
category2,category40,3379
category2,category65,6049
category2,category239,303
category2,category257,11
category2,category89,234
category2,category215,26
category2,category71,20
category97,category195,27
category97,category226,84
category97,category86,11
category97,category60,32
category97,category266,51
category97,category263,180
category97,category275,12
category97,category200,15
category97,category325,12
category97,category273,12
category97,category196,38
category97,category58,95
category97,category285,103
category97,category151,11
category97,category153,68
category97,category188,14
category97,category279,140
category97,category20,764
category97,category40,321
category97,category65,714
category97,category239,26
category97,category89,39
category97,category71,11
category20,category195,199
category20,category226,570
category20,category248,16
category20,category86,21
category20,category60,423
category20,category185,31
category20,category266,192
category20,category280,71
category20,category263,241
category20,category194,39
category20,category88,17
category20,category281,15
category20,category275,46
category20,category184,62
category20,category190,60
category20,category200,233
category20,category30,43
category20,category325,140
category20,category236,28
category20,category273,159
category20,category56,58
category20,category233,11
category20,category158,11
category20,category252,48
category20,category169,12
category20,category196,113
category20,category253,31
category20,category58,445
category20,category285,387
category20,category151,269
category20,category303,152
category20,category153,559
category20,category188,130
category20,category63,23
category20,category24,36
category20,category279,678
category20,category40,2782
category20,category65,7684
category20,category239,681
category20,category89,366
category20,category215,35
category20,category71,14
category40,category195,98
category40,category226,277
category40,category248,41
category40,category86,47
category40,category60,222
category40,category185,42
category40,category266,86
category40,category280,57
category40,category263,99
category40,category194,23
category40,category88,16
category40,category281,28
category40,category275,39
category40,category184,26
category40,category190,88
category40,category200,174
category40,category30,30
category40,category325,95
category40,category160,40
category40,category227,11
category40,category155,11
category40,category236,48
category40,category273,171
category40,category56,72
category40,category233,37
category40,category218,14
category40,category158,15
category40,category49,36
category40,category252,32
category40,category196,38
category40,category58,412
category40,category285,374
category40,category151,125
category40,category94,11
category40,category258,14
category40,category153,368
category40,category188,36
category40,category63,17
category40,category279,389
category40,category65,2983
category40,category239,456
category40,category89,905
category40,category71,14
category65,category195,195
category65,category226,538
category65,category248,59
category65,category86,123
category65,category60,538
category65,category191,12
category65,category185,23
category65,category266,190
category65,category280,101
category65,category263,1821
category65,category194,24
category65,category5,12
category65,category281,61
category65,category275,30
category65,category184,69
category65,category190,104
category65,category200,275
category65,category30,117
category65,category325,167
category65,category160,33
category65,category201,13
category65,category227,23
category65,category236,38
category65,category273,228
category65,category56,123
category65,category233,44
category65,category49,34
category65,category252,51
category65,category284,24
category65,category169,27
category65,category196,143
category65,category253,25
category65,category58,472
category65,category285,334
category65,category151,194
category65,category108,14
category65,category94,14
category65,category258,12
category65,category303,27
category65,category153,440
category65,category188,125
category65,category63,21
category65,category24,23
category65,category279,746
category65,category239,201
category65,category89,366
category65,category215,26
category65,category71,49
category239,category226,22
category239,category60,12
category239,category266,13
category239,category273,12
category239,category58,12
category239,category285,15
category239,category153,27
category239,category279,13
category239,category89,15
category257,category88,15
category257,category176,23
category257,category89,73
category176,category195,11
category176,category56,51
category176,category279,53
category176,category89,371
category89,category195,100
category89,category226,110
category89,category86,200
category89,category60,460
category89,category266,12
category89,category280,97
category89,category263,22
category89,category88,11
category89,category281,74
category89,category190,60
category89,category200,136
category89,category30,23
category89,category325,19
category89,category236,20
category89,category273,101
category89,category56,50
category89,category233,11
category89,category158,20
category89,category252,90
category89,category165,26
category89,category58,23
category89,category285,19
category89,category151,13
category89,category59,27
category89,category153,109
category89,category188,16
category89,category331,23
category89,category279,466
category89,category270,42
category215,category195,15
category215,category226,11
category215,category60,13
category215,category263,39
category215,category200,11
category215,category279,36
category215,category257,193
category215,category176,418
category215,category89,95
category123,category226,11
category123,category253,20
category123,category165,11
category123,category133,13
category123,category212,17
category123,category270,153
category133,category212,39
category212,category169,35
category212,category196,26
category270,category253,20
category270,category331,15
category270,category279,111
category131,category229,13
category41,category207,80
category342,category263,19
category71,category226,19
category71,category190,15
category71,category200,12
category71,category285,11
category71,category153,13
category229,category59,145
category229,category343,23
category202,category291,11
category202,category139,49
category291,category139,12
category139,category255,47
category139,category234,17
category139,category204,14
category204,category273,273
