品类,时间,库存量
category189,2023/10/1-2023/10/15,11553
category314,2023/10/1-2023/10/15,1986
category167,2023/10/1-2023/10/15,46
category121,2023/10/1-2023/10/15,88985
category118,2023/10/1-2023/10/15,39051
category45,2023/10/1-2023/10/15,57055
category208,2023/10/1-2023/10/15,3728
category27,2023/10/1-2023/10/15,24515
category289,2023/10/1-2023/10/15,3225
category157,2023/10/1-2023/10/15,22632
category276,2023/10/1-2023/10/15,988647
category310,2023/10/1-2023/10/15,1117
category294,2023/10/1-2023/10/15,87
category194,2023/10/1-2023/10/15,37106
category252,2023/10/1-2023/10/15,10589
category335,2023/10/1-2023/10/15,275
category77,2023/10/1-2023/10/15,160911
category237,2023/10/1-2023/10/15,347135
category243,2023/10/1-2023/10/15,378891
category330,2023/10/1-2023/10/15,1219
category322,2023/10/1-2023/10/15,48141
category105,2023/10/1-2023/10/15,22441
category209,2023/10/1-2023/10/15,1217301
category264,2023/10/1-2023/10/15,15302
category192,2023/10/1-2023/10/15,60488
category3,2023/10/1-2023/10/15,3900
category56,2023/10/1-2023/10/15,57862
category57,2023/10/1-2023/10/15,1260
category318,2023/10/1-2023/10/15,9074
category170,2023/10/1-2023/10/15,120
category281,2023/10/1-2023/10/15,70762
category163,2023/10/1-2023/10/15,22195
category139,2023/10/1-2023/10/15,26162
category171,2023/10/1-2023/10/15,115584
category58,2023/10/1-2023/10/15,209498
category316,2023/10/1-2023/10/15,113393
category262,2023/10/1-2023/10/15,138387
category113,2023/10/1-2023/10/15,2300
category311,2023/10/1-2023/10/15,7075
category214,2023/10/1-2023/10/15,8194
category80,2023/10/1-2023/10/15,57094
category270,2023/10/1-2023/10/15,16045
category60,2023/10/1-2023/10/15,633831
category84,2023/10/1-2023/10/15,2752777
category211,2023/10/1-2023/10/15,5025
category79,2023/10/1-2023/10/15,98635
category111,2023/10/1-2023/10/15,5950
category308,2023/10/1-2023/10/15,725885
category337,2023/10/1-2023/10/15,163
category110,2023/10/1-2023/10/15,6910
category233,2023/10/1-2023/10/15,40903
category272,2023/10/1-2023/10/15,102
category42,2023/10/1-2023/10/15,1831108
category40,2023/10/1-2023/10/15,608041
category122,2023/10/1-2023/10/15,75448
category313,2023/10/1-2023/10/15,1992
category239,2023/10/1-2023/10/15,27238
category68,2023/10/1-2023/10/15,868
category36,2023/10/1-2023/10/15,628
category275,2023/10/1-2023/10/15,87849
category296,2023/10/1-2023/10/15,37189
category331,2023/10/1-2023/10/15,45049
category140,2023/10/1-2023/10/15,23203
category142,2023/10/1-2023/10/15,683
category344,2023/10/1-2023/10/15,3269
category188,2023/10/1-2023/10/15,175336
category199,2023/10/1-2023/10/15,2486
category340,2023/10/1-2023/10/15,2514
category101,2023/10/1-2023/10/15,4601
category195,2023/10/1-2023/10/15,249628
category255,2023/10/1-2023/10/15,5229
category303,2023/10/1-2023/10/15,136823
category266,2023/10/1-2023/10/15,166583
category205,2023/10/1-2023/10/15,20658
category129,2023/10/1-2023/10/15,127253
category179,2023/10/1-2023/10/15,835
category242,2023/10/1-2023/10/15,205364
category99,2023/10/1-2023/10/15,3368
category1,2023/10/1-2023/10/15,4217
category184,2023/10/1-2023/10/15,75417
category155,2023/10/1-2023/10/15,3799
category21,2023/10/1-2023/10/15,2032021
category329,2023/10/1-2023/10/15,342
category123,2023/10/1-2023/10/15,19989
category176,2023/10/1-2023/10/15,11578
category53,2023/10/1-2023/10/15,9900
category91,2023/10/1-2023/10/15,7550
category14,2023/10/1-2023/10/15,13822
category302,2023/10/1-2023/10/15,4036
category283,2023/10/1-2023/10/15,311875
category277,2023/10/1-2023/10/15,5224
category39,2023/10/1-2023/10/15,4664
category52,2023/10/1-2023/10/15,10690
category287,2023/10/1-2023/10/15,103151
category271,2023/10/1-2023/10/15,15454
category146,2023/10/1-2023/10/15,43936
category152,2023/10/1-2023/10/15,101945
category55,2023/10/1-2023/10/15,280
category315,2023/10/1-2023/10/15,180
category115,2023/10/1-2023/10/15,117
category257,2023/10/1-2023/10/15,12244
category224,2023/10/1-2023/10/15,3681
category254,2023/10/1-2023/10/15,1473354
category32,2023/10/1-2023/10/15,197693
category62,2023/10/1-2023/10/15,84996
category24,2023/10/1-2023/10/15,150048
category128,2023/10/1-2023/10/15,148580
category34,2023/10/1-2023/10/15,11180
category29,2023/10/1-2023/10/15,106692
category226,2023/10/1-2023/10/15,257252
category234,2023/10/1-2023/10/15,2361
category46,2023/10/1-2023/10/15,51454
category236,2023/10/1-2023/10/15,67567
category117,2023/10/1-2023/10/15,5008
category87,2023/10/1-2023/10/15,394096
category175,2023/10/1-2023/10/15,1415
category72,2023/10/1-2023/10/15,103173
category25,2023/10/1-2023/10/15,9638
category89,2023/10/1-2023/10/15,197570
category143,2023/10/1-2023/10/15,28698
category147,2023/10/1-2023/10/15,4512
category20,2023/10/1-2023/10/15,726532
category19,2023/10/1-2023/10/15,3384
category116,2023/10/1-2023/10/15,318885
category247,2023/10/1-2023/10/15,90538
category306,2023/10/1-2023/10/15,2761
category6,2023/10/1-2023/10/15,1041
category13,2023/10/1-2023/10/15,33178
category102,2023/10/1-2023/10/15,461032
category349,2023/10/1-2023/10/15,154
category173,2023/10/1-2023/10/15,50669
category153,2023/10/1-2023/10/15,169779
category293,2023/10/1-2023/10/15,39131
category126,2023/10/1-2023/10/15,2192
category94,2023/10/1-2023/10/15,23654
category235,2023/10/1-2023/10/15,550
category186,2023/10/1-2023/10/15,228756
category169,2023/10/1-2023/10/15,100139
category229,2023/10/1-2023/10/15,50734
category160,2023/10/1-2023/10/15,54325
category319,2023/10/1-2023/10/15,667
category26,2023/10/1-2023/10/15,57621
category12,2023/10/1-2023/10/15,78466
category259,2023/10/1-2023/10/15,279719
category114,2023/10/1-2023/10/15,32690
category248,2023/10/1-2023/10/15,118409
category223,2023/10/1-2023/10/15,147335
category324,2023/10/1-2023/10/15,33732
category165,2023/10/1-2023/10/15,63834
category22,2023/10/1-2023/10/15,7261
category300,2023/10/1-2023/10/15,15286
category231,2023/10/1-2023/10/15,3343
category43,2023/10/1-2023/10/15,19555
category284,2023/10/1-2023/10/15,13589
category230,2023/10/1-2023/10/15,2126
category104,2023/10/1-2023/10/15,439196
category240,2023/10/1-2023/10/15,124573
category83,2023/10/1-2023/10/15,66
category206,2023/10/1-2023/10/15,626
category63,2023/10/1-2023/10/15,257628
category145,2023/10/1-2023/10/15,2985
category44,2023/10/1-2023/10/15,137942
category136,2023/10/1-2023/10/15,47175
category307,2023/10/1-2023/10/15,67136
category193,2023/10/1-2023/10/15,328
category31,2023/10/1-2023/10/15,94
category82,2023/10/1-2023/10/15,133
category212,2023/10/1-2023/10/15,4628
category227,2023/10/1-2023/10/15,23819
category130,2023/10/1-2023/10/15,332782
category156,2023/10/1-2023/10/15,19641
category191,2023/10/1-2023/10/15,154772
category37,2023/10/1-2023/10/15,973
category218,2023/10/1-2023/10/15,7808
category59,2023/10/1-2023/10/15,21705
category203,2023/10/1-2023/10/15,137703
category81,2023/10/1-2023/10/15,2920
category305,2023/10/1-2023/10/15,7103
category17,2023/10/1-2023/10/15,143523
category187,2023/10/1-2023/10/15,1365
category107,2023/10/1-2023/10/15,65374
category131,2023/10/1-2023/10/15,5590
category108,2023/10/1-2023/10/15,11811
category265,2023/10/1-2023/10/15,3252
category93,2023/10/1-2023/10/15,68268
category51,2023/10/1-2023/10/15,35093
category301,2023/10/1-2023/10/15,2090
category150,2023/10/1-2023/10/15,2300
category285,2023/10/1-2023/10/15,167301
category92,2023/10/1-2023/10/15,2349
category148,2023/10/1-2023/10/15,6
category4,2023/10/1-2023/10/15,5719
category158,2023/10/1-2023/10/15,9874
category220,2023/10/1-2023/10/15,1759
category164,2023/10/1-2023/10/15,518644
category30,2023/10/1-2023/10/15,369341
category269,2023/10/1-2023/10/15,9856
category221,2023/10/1-2023/10/15,240
category228,2023/10/1-2023/10/15,32926
category177,2023/10/1-2023/10/15,3941
category291,2023/10/1-2023/10/15,3648
category7,2023/10/1-2023/10/15,28
category97,2023/10/1-2023/10/15,113029
category28,2023/10/1-2023/10/15,32070
category215,2023/10/1-2023/10/15,23355
category241,2023/10/1-2023/10/15,71202
category73,2023/10/1-2023/10/15,62895
category50,2023/10/1-2023/10/15,611
category38,2023/10/1-2023/10/15,40061
category15,2023/10/1-2023/10/15,233834
category178,2023/10/1-2023/10/15,13783
category100,2023/10/1-2023/10/15,9120
category69,2023/10/1-2023/10/15,669
category263,2023/10/1-2023/10/15,305534
category280,2023/10/1-2023/10/15,322596
category278,2023/10/1-2023/10/15,2271
category135,2023/10/1-2023/10/15,67437
category295,2023/10/1-2023/10/15,23669
category204,2023/10/1-2023/10/15,11617
category207,2023/10/1-2023/10/15,1864
category96,2023/10/1-2023/10/15,402
category174,2023/10/1-2023/10/15,4269
category8,2023/10/1-2023/10/15,53593
category74,2023/10/1-2023/10/15,14142
category168,2023/10/1-2023/10/15,2630
category268,2023/10/1-2023/10/15,16568
category341,2023/10/1-2023/10/15,554
category256,2023/10/1-2023/10/15,24366
category309,2023/10/1-2023/10/15,1230
category181,2023/10/1-2023/10/15,450
category339,2023/10/1-2023/10/15,27
category65,2023/10/1-2023/10/15,567012
category85,2023/10/1-2023/10/15,41508
category250,2023/10/1-2023/10/15,103459
category76,2023/10/1-2023/10/15,7778
category35,2023/10/1-2023/10/15,166513
category64,2023/10/1-2023/10/15,6875
category23,2023/10/1-2023/10/15,2631
category134,2023/10/1-2023/10/15,226
category198,2023/10/1-2023/10/15,39211
category183,2023/10/1-2023/10/15,115316
category200,2023/10/1-2023/10/15,205194
category222,2023/10/1-2023/10/15,7638
category346,2023/10/1-2023/10/15,118
category320,2023/10/1-2023/10/15,4676
category347,2023/10/1-2023/10/15,4879
category16,2023/10/1-2023/10/15,61497
category282,2023/10/1-2023/10/15,148225
category246,2023/10/1-2023/10/15,9103
category334,2023/10/1-2023/10/15,2166
category253,2023/10/1-2023/10/15,71939
category216,2023/10/1-2023/10/15,107
category261,2023/10/1-2023/10/15,16032
category219,2023/10/1-2023/10/15,39
category33,2023/10/1-2023/10/15,54237
category292,2023/10/1-2023/10/15,4202
category217,2023/10/1-2023/10/15,6797
category197,2023/10/1-2023/10/15,1045019
category273,2023/10/1-2023/10/15,78637
category185,2023/10/1-2023/10/15,213851
category49,2023/10/1-2023/10/15,23036
category202,2023/10/1-2023/10/15,12718
category127,2023/10/1-2023/10/15,14012
category245,2023/10/1-2023/10/15,282043
category75,2023/10/1-2023/10/15,6945
category133,2023/10/1-2023/10/15,2874
category88,2023/10/1-2023/10/15,31663
category172,2023/10/1-2023/10/15,25390
category151,2023/10/1-2023/10/15,96415
category95,2023/10/1-2023/10/15,223329
category67,2023/10/1-2023/10/15,844
category149,2023/10/1-2023/10/15,601
category61,2023/10/1-2023/10/15,298658
category109,2023/10/1-2023/10/15,309955
category2,2023/10/1-2023/10/15,595213
category325,2023/10/1-2023/10/15,164164
category279,2023/10/1-2023/10/15,593286
category18,2023/10/1-2023/10/15,8566
category103,2023/10/1-2023/10/15,108503
category70,2023/10/1-2023/10/15,34376
category86,2023/10/1-2023/10/15,260889
category267,2023/10/1-2023/10/15,66040
category11,2023/10/1-2023/10/15,7808
category328,2023/10/1-2023/10/15,189
category90,2023/10/1-2023/10/15,9962
category317,2023/10/1-2023/10/15,121
category290,2023/10/1-2023/10/15,2890
category196,2023/10/1-2023/10/15,87317
category119,2023/10/1-2023/10/15,2219
category182,2023/10/1-2023/10/15,143922
category258,2023/10/1-2023/10/15,28053
category162,2023/10/1-2023/10/15,1132
category112,2023/10/1-2023/10/15,811
category138,2023/10/1-2023/10/15,41009
category125,2023/10/1-2023/10/15,4165
category249,2023/10/1-2023/10/15,17
category299,2023/10/1-2023/10/15,223807
category297,2023/10/1-2023/10/15,59528
category232,2023/10/1-2023/10/15,63007
category66,2023/10/1-2023/10/15,1509
category343,2023/10/1-2023/10/15,1217
category120,2023/10/1-2023/10/15,1773
category201,2023/10/1-2023/10/15,8888
category98,2023/10/1-2023/10/15,5482
category166,2023/10/1-2023/10/15,395988
category161,2023/10/1-2023/10/15,53281
category71,2023/10/1-2023/10/15,26966
category336,2023/10/1-2023/10/15,1
category190,2023/10/1-2023/10/15,125714
category132,2023/10/1-2023/10/15,115077
category106,2023/10/1-2023/10/15,616
category141,2023/10/1-2023/10/15,1077722
category48,2023/10/1-2023/10/15,463401
category225,2023/10/1-2023/10/15,3285354
category41,2023/10/1-2023/10/15,1362
category238,2023/10/1-2023/10/15,14664
category78,2023/10/1-2023/10/15,10359
category47,2023/10/1-2023/10/15,117687
category298,2023/10/1-2023/10/15,2275
category312,2023/10/1-2023/10/15,3514
category137,2023/10/1-2023/10/15,1593835
category154,2023/10/1-2023/10/15,114961
category333,2023/10/1-2023/10/15,6002
category288,2023/10/1-2023/10/15,3
category10,2023/10/1-2023/10/15,1501
category274,2023/10/1-2023/10/15,42
category348,2023/10/1-2023/10/15,4
category180,2023/10/1-2023/10/15,1531
category213,2023/10/1-2023/10/15,336
category338,2023/10/1-2023/10/15,31
category323,2023/10/1-2023/10/15,237
category251,2023/10/1-2023/10/15,39
category350,2023/10/1-2023/10/15,68
category327,2023/10/1-2023/10/15,12
category345,2023/10/1-2023/10/15,1
category210,2023/10/1-2023/10/15,76
category5,2023/10/1-2023/10/15,6883
category9,2023/10/1-2023/10/15,256
category54,2023/10/1-2023/10/15,37
category124,2023/10/1-2023/10/15,40
category260,2023/10/1-2023/10/15,31
category159,2023/10/1-2023/10/15,25
category304,2023/10/1-2023/10/15,384
category326,2023/10/1-2023/10/15,1
category332,2023/10/1-2023/10/15,20
